Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF
197510,  10.55,   8.87,   5.65,  -1.39,   8.38,   6.82,   9.80,  10.68,   6.51,   3.91,0.0504
197511,   4.09,   3.40,   3.18,  -1.63,   5.02,   4.26,   4.42,   5.12,   3.12,   3.56,0.0271
197512,  -1.51,  -0.39,  -1.40,   0.06,  -1.25,  -0.10,  -3.03,  -6.36,   1.33,  -0.29,-0.0158
197601,  11.00,  15.59,  16.80,   8.36,  18.31,   9.50,   9.06,   7.78,   8.37,  12.93,0.1213
197602,  -1.07,   3.89,   1.89,  -3.15,   1.20,   3.56,   4.54,  -6.52,  -3.53,   3.12,0.0038
197603,   0.72,   3.63,   0.77,   7.27,   2.97,   0.59,   3.46,   6.52,   1.42,   1.94,0.0228
197604,  -1.71,   1.89,  -1.40,   2.12,  -3.40,   1.72,  -4.65,  -4.31,   0.65,  -1.56,-0.0147
197605,  -2.18,  -3.18,  -1.24,   5.49,   0.53,  -2.95,  -5.65,  -2.81,  -1.38,  -1.67,-0.0131
197606,   3.65,   4.26,   3.96,   5.07,   8.21,   3.58,   1.38,   3.66,   4.27,   5.40,0.0401
197607,   1.52,  -1.07,  -1.87,  -0.66,  -2.21,   1.24,  -2.22,  -0.38,   2.82,  -0.05,-0.0108
197608,  -0.29,  -1.43,  -1.57,  -0.88,  -0.84,   4.73,   2.98,   2.17,   2.93,  -1.14,-0.0056
197609,   1.53,   4.52,   0.91,   5.98,   2.89,   1.61,   0.37,   3.62,   4.10,   0.94,0.0201
197610,  -1.60,  -1.18,  -3.55,  -2.41,  -4.50,   1.27,  -0.91,  -3.75,  -0.84,  -0.46,-0.0245
197611,   1.75,  -0.75,  -0.53,   0.86,   1.66,   3.15,   4.90,  -9.69,   3.16,   2.04,0.0016
197612,   5.24,   9.70,   6.08,   6.27,   3.84,   3.46,   2.32,   6.26,   6.53,   8.39,0.0576
197701,  -4.08,  -4.14,  -5.84,   0.25,  -3.88,   0.10,  -6.99,  -8.82,   0.80,  -4.15,-0.0399
197702,  -1.40,  -3.49,  -0.72,  -2.95,  -0.65,   0.97,  -1.87,  -0.21,  -3.40,  -1.75,-0.0193
197703,  -1.39,  -3.37,  -0.15,  -2.08,  -0.04,  -1.03,  -2.71,  -1.79,   0.15,  -0.11,-0.0130
197704,   0.52,   3.19,   0.57,   2.57,  -3.45,   0.67,  -3.43,  -5.20,   1.95,   2.16,0.0012
197705,  -0.95,  -0.50,  -2.70,  -0.40,  -1.47,   1.43,  -2.76,  -1.88,   1.67,  -0.84,-0.0145
197706,   4.53,   4.32,   3.37,   6.06,   7.78,   1.96,   6.02,   9.04,   5.72,   5.34,0.0474
197707,   1.21,  -2.43,  -3.51,  -1.84,  -0.16,  -0.86,  -0.19,  -2.24,   0.87,  -0.36,-0.0170
197708,   0.10,  -0.87,  -1.13,  -5.72,   0.49,  -2.26,   4.64,   3.79,  -3.25,  -1.24,-0.0178
197709,   0.26,   1.60,  -0.97,   0.78,  -1.79,   3.47,  -0.64,  -0.84,   2.01,  -0.08,-0.0027
197710,  -3.34,  -4.46,  -4.38,  -3.58,  -3.19,  -5.06,  -3.08,  -1.68,  -3.14,  -4.43,-0.0442
197711,   4.61,   1.95,   4.18,   3.45,   5.22,   2.21,   5.45,   6.02,   4.30,   6.46,0.0404
197712,  -0.01,  -0.65,   0.85,   1.85,   2.40,   2.16,  -1.33,   0.59,  -0.32,   0.64,0.0033
197801,  -5.30,  -6.86,  -5.94,  -6.90,  -4.73,  -4.16,  -6.85,  -1.86,  -4.57,  -5.32,-0.0601
197802,   0.13,   0.41,  -2.45,  -1.10,  -3.48,   4.12,  -0.43,  -3.00,  -0.40,  -0.16,-0.0139
197803,   4.15,   6.11,   3.83,   2.03,  -0.69,   2.63,   2.77,   4.16,   2.48,   5.43,0.0287
197804,   6.90,   9.68,  11.41,   6.76,  13.31,   2.96,  10.89,   9.20,   0.23,   9.32,0.0775
197805,   4.25,   0.13,   4.28,   0.81,   1.62,  -0.39,   1.26,   5.25,   0.71,   2.55,0.0181
197806,  -0.26,  -2.86,  -1.52,  -3.73,  -0.36,  -1.53,  -1.95,   1.10,   0.82,  -0.27,-0.0162
197807,   3.56,   4.63,   7.66,   3.44,   8.58,   1.43,   5.07,   8.87,   2.82,   6.57,0.0511
197808,   4.13,   2.88,   3.89,   5.13,   6.02,   3.57,   5.56,   1.00,   0.47,   6.34,0.0369
197809,  -0.39,  -0.45,  -2.08,   4.76,  -4.16,   1.21,  -2.59,  -2.75,  -0.26,  -1.25,-0.0131
197810, -11.57, -11.18, -11.40, -10.61, -10.82,  -4.53, -14.05, -12.84,  -7.08, -14.07,-0.1178
197811,   2.21,   0.78,   3.04,   6.21,   5.08,   3.01,   2.58,   5.18,   3.01,   2.51,0.0268
197812,   1.73,  -0.56,   1.51,   2.95,   6.44,   0.10,  -0.61,   3.42,  -1.23,   1.32,0.0099
197901,   4.19,   4.99,   6.26,   3.19,   4.31,   3.64,   5.64,   1.42,   6.35,   6.10,0.0418
197902,  -3.51,  -3.54,  -4.47,   0.64,  -3.31,  -0.63,  -4.33,  -4.52,  -1.62,  -3.26,-0.0341
197903,   4.07,   6.60,   7.28,   9.30,   7.61,   0.16,   5.96,   5.05,   2.35,   8.17,0.0575
197904,   0.22,   2.99,  -0.35,   4.31,   0.33,  -2.13,   0.69,   0.42,  -2.72,   1.53,0.0005
197905,  -1.77,  -0.79,  -2.29,  -2.31,  -1.98,   0.09,  -2.55,  -2.64,   1.39,  -0.09,-0.0218
197906,   3.28,   2.99,   3.48,   9.20,   0.49,   1.95,   2.95,   4.83,   4.99,   7.00,0.0388
197907,   2.07,   2.05,   2.08,   1.70,  -1.52,  -0.11,   1.15,   0.14,   2.12,   3.30,0.0073
197908,   7.55,   4.71,   7.51,   7.96,   5.94,   1.57,   8.81,   8.54,   2.05,   5.84,0.0570
197909,  -1.91,   0.43,  -0.74,   5.84,  -1.76,  -2.39,  -0.78,  -0.54,  -2.14,  -0.68,-0.0069
197910,  -7.68,  -9.43,  -8.85,  -2.39,  -7.73,  -5.03,  -8.80,  -4.34,  -5.80, -10.15,-0.0813
197911,   5.16,  -2.35,   4.94,   8.91,   8.17,   4.06,   3.95,   8.75,   7.79,   7.01,0.0537
197912,   3.37,   3.38,   4.37,   2.68,   1.79,  -1.53,   2.98,   2.08,  -0.92,   4.14,0.0187
198001,   3.12,   9.05,   7.02,  14.16,   7.37,  -2.05,   0.92,  -1.29,   1.60,   5.51,0.0576
198002,  -4.79,  -6.31,  -2.65,  12.59,  -3.56,  -1.48,  -4.82,  -4.63,  -3.36,  -3.33,-0.0079
198003,  -8.16,  -8.74, -11.68, -17.79, -12.67,  -2.64,  -8.52,  -2.84,  -6.67, -12.24,-0.1323
198004,   6.52,  -1.91,   3.25,   6.85,   0.72,   7.30,   3.43,   4.28,  11.96,   6.05,0.0397
198005,   7.89,   4.31,   6.18,   4.05,   4.82,   5.02,  10.70,   6.96,   4.61,   8.11,0.0520
198006,   2.99,   2.78,   2.41,   5.81,   3.03,  -0.59,   2.39,   0.21,   4.54,   5.16,0.0316
198007,   7.76,  11.75,  10.76,   1.67,  15.48,   1.02,  10.65,   8.89,  -0.12,   6.64,0.0641
198008,   1.45,   1.46,   1.73,   3.79,   3.68,   6.31,   1.99,   0.30,  -1.08,   2.67,0.0171
198009,   0.20,   0.97,   3.03,   6.80,   2.01,  -1.59,   1.12,   3.60,   0.17,   3.65,0.0220
198010,   0.28,  -1.73,   0.37,   8.00,   1.94,  -3.24,  -1.57,  -1.29,   2.01,   1.56,0.0105
198011,   0.92,   4.77,   8.56,  24.56,   9.80,   0.01,   2.96,   8.81,   7.51,   7.38,0.0953
198012,   1.04,  -1.16,  -2.12, -10.88,  -1.17,   0.82,  -1.45,   4.61,  -2.02,  -0.72,-0.0475
198101,   2.00,  -2.20,  -2.04, -10.36,  -8.08,   5.53,   0.43,  -1.57,  -2.72,  -2.56,-0.0505
198102,   2.49,   6.40,   4.40,  -0.47,   0.49,   2.15,   2.82,   1.85,  -1.32,   1.70,0.0048
198103,   6.93,   7.07,   5.88,  -2.49,   5.01,   1.16,  12.70,   5.87,   2.96,   8.45,0.0341
198104,   1.16,   1.81,  -0.84,  -7.45,   0.15,   6.21,   2.98,   3.00,  -2.58,   0.93,-0.0220
198105,   2.64,   2.89,  -0.32,  -4.01,   4.23,   7.14,   2.73,   3.47,   1.95,   2.51,0.0020
198106,  -0.20,  -4.21,  -1.38,   4.75,  -6.66,  -1.91,  -1.59,  -5.58,   3.45,  -0.97,-0.0237
198107,  -0.65,  -2.97,  -2.73,   7.86,  -3.78,   0.37,  -3.20,  -3.89,   2.80,  -2.69,-0.0155
